AttributeNum,DiscreteRatio,JointInf,Size,Totcorr,Mean1,Mean2,Mean3,Mean4,Std1,Std2,Std3,Std4,Median1,Median2,Median3,Median4,Min1,Min2,Min3,Min4,Max1,Max2,Max3,Max4,Skew1,Skew2,Skew3,Skew4,Entropy1,Entropy2,Entropy3,Entropy4,PCAJointInf,n_components,covariance_type0,covariance_type1,covariance_type2,covariance_type3
29.0,0.0,9.285402218862183,624.0,252.0038886250265,6399.135027207107,4045.943348842672,3271.895658505703,2887.211135217975,6399.135027207107,4045.943348842672,3271.895658505703,2887.211135217975,567.1811537179074,-42.50268218205306,-3.3181301675790196,-173.56262871508767,-13684.892575492599,-10064.742780189901,-7551.560184617049,-6528.585550154947,15743.539986886255,11270.559132669612,9212.421530694426,8491.757695551074,-0.014116322622375459,0.15069193806779219,0.1867610914155574,0.2339362590951408,9.285402218862183,9.285402218862183,9.285402218862183,9.285402218862183,9.285402218862183,4.0,1.0,0.0,0.0,0.0
41.0,0.024390243902439025,9.38370429247408,668.0,321.44508027788766,4.559027416819917,2.7064111276567946,1.2263207917709575,1.2005946947856614,4.559027416819917,2.7064111276567946,1.2263207917709575,1.2005946947856614,-0.9866850410662069,-0.7298727154304303,-0.04489798913434528,-0.02026772188053604,-8.181685685703,-4.927390530605809,-3.792069515651697,-3.1087058560055922,12.315865237437315,7.756892185711124,3.844507861298279,3.4635229759826753,0.644553267922512,0.8463793999141845,0.11377736285062946,-0.01744427797793202,9.38370429247408,9.38370429247408,9.38370429247408,9.38370429247408,9.38370429247408,2.0,1.0,0.0,0.0,0.0
41.0,0.024390243902439025,9.577428828035869,764.0,324.123902882875,4.997109771241507,2.453446279245768,1.2415351418030298,1.1899341671400472,4.997109771241507,2.453446279245768,1.2415351418030298,1.1899341671400472,0.08678191543106203,-0.11995854144277271,0.08530779734060559,-0.045991220833592306,-10.045643250342803,-5.672276807067673,-3.552196387553588,-4.595833580266266,10.408711582382457,6.579264462374771,3.605366150727655,5.159203049144071,0.023957633948013028,0.035789235490735746,-0.02058145539790729,0.09844536861698568,9.577428828035869,9.577428828035869,9.577428828035869,9.577428828035869,9.577428828035869,2.0,0.0,0.0,0.0,1.0
11.0,0.0,9.634811050171855,795.0,63.10442637814691,2.581245528118054,1.446226679453748,1.3538931705454011,1.2325920572345783,2.581245528118054,1.446226679453748,1.3538931705454011,1.2325920572345783,-1.3836427898221517,-0.104541903758646,-0.22047099007994653,-0.013084726114754816,-2.674495938485567,-4.233273632710965,-3.0888900605942524,-3.6248382070811695,7.867533736803792,7.421495015128608,7.178790049017033,6.47379090630707,1.356880982946367,0.9038286847318181,1.4281839487413026,1.4229689018954073,9.634811050171855,9.634811050171855,9.634811050171855,9.634811050171855,9.634811050171855,5.0,1.0,0.0,0.0,0.0
11.0,0.0,9.64925617751736,803.0,62.97670922904394,2.7722007587160995,1.5378481007620501,1.3285178918215739,1.2627278711177603,2.7722007587160995,1.5378481007620501,1.3285178918215739,1.2627278711177603,-1.08677198586455,-0.22845949637213267,-0.08105374033032549,-0.2705980336481069,-2.6164663173500373,-4.427709056781735,-3.356088330099947,-3.383869509553053,7.987164168178252,8.756817760282184,17.317272163703105,6.20757571128816,1.264568771758127,1.4942317504173555,6.747723720229208,1.1939357636170314,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,5.0,1.0,0.0,0.0,0.0
116.0,0.9655172413793104,9.049848549450575,530.0,42.980863869167216,0.9742106955559386,0.9573028649288505,0.9236853247340799,0.8631797564911922,0.9742106955559386,0.9573028649288505,0.9236853247340799,0.8631797564911922,-0.016638918770720372,-0.02480371370302665,-0.04672842712215196,-0.03775550772640609,-2.0121791309122576,-1.9686048221070664,-2.146960833999137,-2.1727609617433012,2.3385214906266416,2.1428887297747936,2.441750321720645,2.3712606918329584,0.15746107220242825,0.05035436595365376,0.15454839946926235,0.012179278193246422,9.049848549450575,9.049848549450575,9.049848549450575,9.049848549450575,9.049848549450575,5.0,0.0,0.0,1.0,0.0
43.0,0.09302325581395349,9.296916206879262,629.0,14.55344973139081,1.2128479120830513,1.0522631265394324,1.0037583994458177,0.9618986725943444,1.2128479120830513,1.0522631265394324,1.0037583994458177,0.9618986725943444,-0.1684574238188769,-0.12140984105784743,-0.12562088820273398,-0.01235894870382484,-2.3120524055430476,-1.9499779063983675,-1.9146003127774878,-2.433403870478598,3.0478358826608747,2.3565653254666246,2.5913183931334154,2.563466971490168,0.31139242668307365,0.1695046446812517,0.285527291827584,0.01240826272037208,9.296916206879262,9.296916206879262,9.296916206879262,9.296916206879262,9.296916206879262,2.0,0.0,1.0,0.0,0.0
43.0,0.18604651162790697,9.64925617751736,803.0,15.967488058868003,1.3212041337751812,1.0737573848521298,1.000579077262951,0.9727879333305247,1.3212041337751812,1.0737573848521298,1.000579077262951,0.9727879333305247,-0.1436284927902026,-0.004398339626977839,-0.032585320394904124,-0.07209905439879735,-2.587059831774238,-2.246086976098111,-2.1164352397073865,-2.1284163602668156,2.687674848451702,2.5310378006944436,2.990139043382688,3.030714257849506,0.18025492604511523,0.11152378262615224,0.34631301295655226,0.2682813957045911,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,9.64925617751736,2.0,0.0,0.0,0.0,1.0
55.0,0.6727272727272727,9.836050355058168,914.0,73.87715920789685,1614.5744346046401,1137.2141023238567,271.21197398816213,190.77804783587044,1614.5744346046401,1137.2141023238567,271.21197398816213,190.77804783587044,-237.45707184484706,-0.22571017510101077,-7.676335839981359,-28.29628754615048,-2784.4425166278693,-3465.093983085219,-813.6157918524364,-418.0631881736585,5088.6651354653395,4471.158503909498,818.740489052149,813.2957657861289,0.6759810542110839,0.3795548685783359,0.19317747875978045,0.7385479066853532,9.836050355058168,9.836050355058168,9.836050355058168,9.836050355058168,9.836050355058168,2.0,0.0,0.0,1.0,0.0
66.0,0.16666666666666666,9.344295907915894,650.0,250.84460388373242,441.95902632834316,421.5732880094148,73.0107451520091,56.86130927615687,441.95902632834316,421.5732880094148,73.0107451520091,56.86130927615687,-137.83481015708858,56.02056008259245,3.1097915668347547,-23.254987360412443,-435.1988372519691,-588.0648000275249,-156.34797852815467,-90.61664822403557,1615.176315923038,1595.593851450908,174.5115086387308,123.28565061518239,0.9860403370465656,0.7083946324543794,-0.10983898319270129,0.7462977000639819,9.344295907915894,9.344295907915894,9.344295907915894,9.344295907915894,9.344295907915894,3.0,0.0,0.0,1.0,0.0
117.0,0.017094017094017096,9.11113567023464,553.0,52.920275119204476,34.37274730853949,2.735411109048581,0.6249238657434681,0.6032074863339002,34.37274730853949,2.735411109048581,0.6249238657434681,0.6032074863339002,-17.942305448653613,-1.2794348033721932,-0.008731328201474802,0.0035252762171246632,-61.94470549222074,-2.8369337576434828,-1.4285081545858271,-1.665497643497138,88.05168148217365,6.081299362263045,1.5854365370062635,1.7903331297859615,0.6217787130133136,1.4035237543630963,0.1074018477579152,-0.0403098389030386,9.11113567023464,9.11113567023464,9.11113567023464,9.11113567023464,9.11113567023464,2.0,0.0,0.0,0.0,1.0
117.0,0.017094017094017096,9.871905237659172,937.0,52.21320432468721,35.54150025000616,2.6755625930949387,0.6173440168321134,0.5856772702804292,35.54150025000616,2.6755625930949387,0.6173440168321134,0.5856772702804292,-20.114472212191245,-1.060939915996816,-0.014819475885884904,0.012444144001986289,-64.12771545976344,-3.5188382658715747,-1.434811890143565,-1.432408448691072,86.00294177242459,6.536876039868958,1.4699101454939405,1.574032230634665,0.5035940290452582,1.2153322120433743,0.12486556568535101,0.05285705627481858,9.871905237659172,9.871905237659172,9.871905237659172,9.871905237659172,9.871905237659172,4.0,0.0,0.0,1.0,0.0
